
;;; DAFTAR STOK BARANG; ; ; ; ;
;;; PER TANGGAL: 19-02-22; ; ; ; ;
NO.;KODE;BARCODE; NAMA BARANG;STOK;SATUAN;@HG.POKOK;@HG.JUAL;@HG.JUAL2;@HG.JUAL3;BTS3;@HG.JUAL4;BTS4;@HG.JUAL5;BTS5;JML_POKOK
52;'009246;'8991002105485; KAPAL API MIX 10SCT; -17;PCS;10317;11000;11000;10583;12;0;0;0;0;-175389
53;'008108;'008108; KARET KUPU 1ONS; -2;PCS;2500;3000;3000;0;0;0;0;0;0;-5000
54;'002970;'002970; KEMIRI PECAH 1 ONS; -1;PCS;2450;3000;3000;0;0;0;0;0;0;-2450
55;'009864;'009864; KETAN ROSE BRAND 1 DUS; -1;DUS;8520;176000;0;0;0;0;0;0;0;-8520
56;'003362;'8993093135006; KETAN ROSE BRAND 500G; -6;PCS;8520;8900;9000;0;0;0;0;0;0;-51120
57;'000278;'000278; KRIPIK SINGKONG/BAL; -10;PCS;16000;18000;18000;0;0;0;0;0;0;-160000
58;'002684;'002684; KRUPUK 2GAJAH BESAR; -1;PCS;11000;11750;11750;0;0;0;0;0;0;-11000
59;'006881;'8991906105758; LA BOLD 20; -5;PCS;25500;25800;25800;0;0;0;0;0;0;-127500
60;'006882;'8991906101101; LA ICE 16; -10;PCS;23300;23600;24000;0;0;0;0;0;0;-233000
61;'006883;'8991906101057; LA LIGHT 16; -1;PCS;23300;23600;24000;0;0;0;0;0;0;-23300
62;'002986;'8997011930612; LADAKU 4G 12SCT; -1;PCS;9281;10000;10000;0;0;0;0;0;0;-9281
63;'002066;'8996001600269; LE MINERAL 600ML; -5;PCS;1533;2500;2500;0;0;0;0;0;0;-7665
64;'005344;'8999999001209; LIFEBUOY BW REFF M.CARE 450ML; -9;PCS;24315;26000;26000;0;0;0;0;0;0;-218835
65;'005363;'8999999538200; LIFEBUOY REFF HABATUSAUDA 450ML; -1;PCS;24315;26000;26000;0;0;0;0;0;0;-24315
66;'005371;'8999999027032; LIFEBUOY SAMPO SHINY 12SCT; -4;PCS;4500;5000;5000;0;0;0;0;0;0;-18000
67;'009258;'8994171101074; LUWAK WHITE KOFFIE CARAMEL 10+1SCT; -5;PCS;10300;11000;11000;0;0;0;0;0;0;-51500
68;'006640;'8993014730129; MADU RASA/BOX; -5;PCS;9000;10000;10000;0;0;0;0;0;0;-45000
69;'009158;'009158; MARIMAS ALL VARIANT 10SCT; -5;PCS;2611;3000;3000;0;0;0;0;0;0;-13055
70;'009603;'8992902156515; MARLBORO BLACK 65ML; -2;PCS;18333;20000;20000;0;0;0;0;0;0;-36666
71;'006893;'8999909000773; MARLBORO FILTER BLACK 12; -11;PCS;16300;16600;17000;0;0;0;0;0;0;-179300
72;'006895;'8999909000544; MARLBORO FILTER BLACK 20; -5;PCS;28650;29000;29500;0;0;0;0;0;0;-143250
73;'006897;'76239878; MARLBORO LIGHTS 20; -2;PCS;30500;30800;31500;0;0;0;0;0;0;-61000
74;'006898;'76164217; MARLBORO RED 20; -29;PCS;30500;30800;31500;30700;10;0;0;0;0;-884500
75;'006899;'8997012910149; MENARA SPESIAL 12; -1;PCS;6250;6500;7000;0;0;0;0;0;0;-6250
76;'001685;'8992802512091; MILNA 6+ SUP DGG BROKOLI 120G; -1;PCS;14460;16000;16000;0;0;0;0;0;0;-14460
77;'003469;'003469; MINYAK CURAH 1/4KG; -16;PCS;4500;4500;0;0;0;0;0;0;0;-72000
78;'005503;'8999999706180; PEPSODENT 190G; -10;PCS;10000;11500;12000;0;0;0;0;0;0;-100000
79;'005513;'8999999710873; PEPSODENT HERBAL 120G; -5;PCS;11605;12700;12000;0;0;0;0;0;0;-58025
80;'005515;'8999999710880; PEPSODENT HERBAL 75G; -7;PCS;7205;8000;8000;0;0;0;0;0;0;-50435
81;'008264;'008264; PLASTIK 0.5 1/2KG; -2;PCS;16000;17000;17000;0;0;0;0;0;0;-32000
82;'008268;'008268; PLASTIK ES 5X17; -2;PCS;8000;8500;8500;0;0;0;0;0;0;-16000
83;'008275;'008275; PLASTIK KRESEK LOREK; -2;PCS;3500;4000;4000;0;0;0;0;0;0;-7000
84;'008277;'008277; PLASTIK KRESEK TOYA; -10;PCS;1750;2000;2000;0;0;0;0;0;0;-17500
85;'002133;'8997035563414; POCARI 500ML; -1;PCS;5550;6500;6500;0;0;0;0;0;0;-5550
86;'003032;'089686386011; RACIK NASGOR 20G; -30;PCS;1450;1700;1700;0;0;0;0;0;0;-43500
87;'003600;'8993428104837; RESTO 10SCT; -1;PCS;11000;11500;11500;0;0;0;0;0;0;-11000
88;'004654;'8934868015024; REXONA LOSIN; -3;PCS;2000;24000;0;0;0;0;0;0;0;-6000
89;'002991;'RBJ; REXONA PCS; -2;PCS;1650;2500;0;0;0;0;0;0;0;-3300
90;'005919;'8999999558086; RINSO ANTI NODA PERFUME 44GR; -1;PCS;4571;5000;5000;0;0;0;0;0;0;-4571
